0.001	0.00294852
0.002	0.00589492
0.003	0.0088379
0.004	0.0117782
0.005	0.0146185
0.006	0.0175075
0.007	0.0204842
0.008	0.0234529
0.009	0.0264139
0.01	0.0293707
0.011	0.0323241
0.012	0.0352661
0.013	0.0382007
0.014	0.041121
0.015	0.0440258
0.016	0.0469128
0.017	0.0497822
0.018	0.0526074
0.019	0.0553983
0.02	0.0581424
0.021	0.0607783
0.022	0.0633031
0.023	0.0656567
0.024	0.0677875
0.025	0.0697264
0.026	0.0713328
0.027	0.0727393
0.028	0.0738104
0.029	0.0745271
0.03	0.0749711
0.031	0.0752445
0.032	0.0753294
0.033	0.0750223
0.034	0.0628137
0.035	0.0655329
0.036	0.0584972
0.037	0.0614272
0.038	0.0643595
0.039	0.067283
0.04	0.0702255
0.041	0.073138
0.042	0.0759365
0.043	0.0786534
0.044	0.0812854
0.045	0.0838527
0.046	0.0863791
0.047	0.088802
0.048	0.0911309
0.049	0.0933406
0.05	0.0953833
0.051	0.0973505
0.052	0.0992444
0.053	0.100957
0.054	0.102536
0.055	0.103931
0.056	0.105431
0.057	0.10648
0.058	0.10766
0.059	0.108561
0.06	0.109535
0.061	0.110071
0.062	0.110799
0.063	0.111356
0.064	0.111676
0.065	0.111975
0.066	0.11221
0.067	0.112374
0.068	0.112276
0.069	0.112212
0.07	0.112198
0.071	0.111782
0.072	0.111438
0.073	0.11122
0.074	0.110928
0.075	0.110276
0.076	0.109894
0.077	0.10929
0.078	0.108609
0.079	0.108071
0.08	0.107468
0.081	0.10676
0.082	0.106046
0.083	0.105248
0.084	0.104491
0.085	0.103581
0.086	0.102751
0.087	0.101991
0.088	0.101084
0.089	0.100088
0.09	0.0992046
0.091	0.0985721
0.092	0.0974606
0.093	0.096737
0.094	0.0954984
0.095	0.09481
0.096	0.093891
0.097	0.0927193
0.098	0.0920401
0.099	0.090909
0.1	0.0901408
0.101	0.0893935
0.102	0.0883421
0.103	0.0874503
0.104	0.0866312
0.105	0.0856679
0.106	0.0846583
0.107	0.0838262
0.108	0.0829352
0.109	0.0821723
0.11	0.0814019
0.111	0.0806223
0.112	0.0795556
0.113	0.0786851
0.114	0.0777985
0.115	0.0768997
0.116	0.0762657
0.117	0.0755459
0.118	0.0748367
0.119	0.0740285
0.12	0.0730009

